0, 62, 71, 75, 64, 74, 0, 82, 0, 0, 76, 85, 74, 0, 0, 76,
0, 62, 69, 74, 64, 77, 0, 85, 0, 0, 74, 85, 71, 0, 0, 74,
0, 62, 68, 75, 64, 79, 0, 84, 0, 0, 74, 85, 71, 0, 0, 73,
0, 0, 68, 76, 67, 80, 0, 82, 0, 0, 0, 83, 71, 0, 0, 71,
0, 61, 66, 74, 68, 0, 0, 80, 76, 0, 0, 80, 71, 0, 0, 73,
0, 61, 68, 74, 71, 81, 0, 0, 78, 0, 0, 78, 72, 0, 0, 0,
0, 0, 68, 75, 70, 79, 0, 0, 79, 87, 0, 77, 72, 0, 0, 0,
0, 0, 70, 75, 69, 76, 0, 80, 77, 85, 0, 74, 70, 0, 0, 0,
0, 62, 71, 72, 67, 75, 0, 82, 75, 83, 0, 72, 71, 0, 0, 0,
0, 62, 69, 74, 67, 73, 82, 84, 72, 82, 0, 71, 72, 0, 0, 0,
0, 62, 68, 77, 66, 72, 81, 86, 0, 0, 0, 68, 0, 0, 0, 0,
0, 61, 0, 79, 66, 70, 81, 88, 71, 81, 0, 70, 73, 0, 0, 0,
0, 62, 67, 79, 0, 69, 80, 91, 70, 80, 0, 68, 75, 0, 0, 0,
0, 62, 68, 81, 0, 66, 83, 92, 68, 0, 0, 65, 78, 0, 0, 68,
0, 62, 69, 80, 0, 67, 84, 93, 0, 0, 0, 0, 80, 86, 0, 70,
0, 61, 71, 80, 0, 66, 85, 94, 0, 0, 0, 66, 0, 86, 0, 70,
0, 61, 68, 0, 0, 68, 84, 95, 0, 0, 64, 67, 0, 86, 0, 67,
0, 62, 68, 78, 0, 69, 82, 93, 0, 67, 63, 68, 0, 84, 0, 67,
0, 62, 70, 75, 0, 71, 82, 92, 70, 0, 0, 69, 0, 83, 0, 0,
0, 63, 70, 74, 80, 72, 84, 92, 69, 0, 0, 69, 0, 85, 0, 67,
0, 63, 69, 74, 83, 0, 0, 91, 67, 0, 0, 70, 0, 86, 0, 65,
0, 0, 66, 74, 81, 73, 82, 89, 66, 0, 0, 0, 80, 88, 0, 64,
0, 0, 64, 75, 79, 75, 80, 0, 0, 0, 0, 66, 81, 0, 0, 62,
0, 0, 64, 75, 78, 75, 77, 87, 0, 0, 0, 68, 0, 0, 0, 63,
0, 0, 63, 0, 75, 74, 79, 0, 0, 0, 62, 69, 79, 0, 0, 66,
0, 0, 63, 76, 72, 73, 80, 80, 0, 0, 64, 70, 76, 0, 0, 67,
0, 0, 64, 0, 73, 72, 82, 0, 0, 0, 62, 70, 75, 0, 0, 70,
0, 0, 0, 0, 72, 70, 83, 0, 0, 68, 63, 68, 73, 0, 0, 73,
0, 0, 67, 78, 70, 71, 81, 86, 0, 0, 62, 66, 75, 87, 0, 73,
0, 63, 70, 78, 68, 73, 82, 86, 69, 0, 64, 66, 74, 0, 0, 0,
0, 64, 72, 80, 0, 71, 83, 85, 70, 0, 65, 0, 76, 0, 0, 0,
0, 65, 72, 0, 67, 73, 81, 86, 69, 0, 68, 66, 78, 0, 0, 0,
68, 66, 0, 0, 66, 75, 80, 88, 71, 0, 0, 0, 80, 62, 0, 0,
