<1h,1-3h,3-6h,>6h
10.94,12.89,25.63,
5.36,0.61,23.01,
13.6,9.56,23.71,
3.21,0.53,45.55,
0.83,12.92,4.31,
9.47,31.1,13.32,
1.94,6.8,33.92,
4.04,0.39,4.17,
2.35,14.03,2.26,
2.14,8.52,5.89,
3.28,58.58,40.05,
6.37,21.8,15.03,
3.23,17.94,70.53,
2.72,13.75,35.04,
18.11,11.59,38.81,
4.4,15.31,24.38,
9.52,22.4,3.17,
8.98,24.21,3.47,
2.83,10.38,9.38,
16.66,0.75,24.09,
24.47,19.69,17.1,
4.38,41.16,7.4,
11.5,64.27,48.42,
6.4,5.4,42.68,
4.63,34.15,17.75,
9.28,11.2,6.38,
22.56,3.06,69.95,
12.37,5.74,4.17,
10.75,44.6,29.29,
1.56,4.77,27.77,
4.25,11.0,6.34,
2.59,24.63,46.28,
5.57,20.9,30.05,
8.72,21.04,7.36,
5.4,16.56,20.54,
6.47,2.75,11.49,
12.71,1.23,7.71,
10.4,4.87,8.72,
2.7,20.12,48.75,
5.63,11.42,7.48,
1.74,18.62,7.22,
9.73,16.05,45.92,
7.72,71.31,36.14,
5.24,23.6,18.15,
2.89,29.66,18.85,
11.76,13.93,26.62,
2.15,11.08,53.24,
23.99,5.98,23.19,
6.25,4.37,9.26,
3.61,1.93,6.3,
0.86,25.67,14.2,
14.64,26.77,0.54,
2.51,21.47,12.49,
11.37,0.31,9.44,
10.06,8.85,27.85,
9.87,27.55,4.87,
22.89,6.98,8.91,
3.66,15.5,37.59,
1.74,0.81,14.02,
0.63,7.8,20.26,
14.89,0.37,27.23,
7.56,21.91,25.49,
3.64,8.89,20.0,
14.43,2.08,40.73,
8.3,22.71,7.33,
1.55,26.59,53.91,
5.29,16.95,82.54,
10.61,2.62,6.81,
7.86,16.81,43.95,
0.18,13.24,10.7,
2.92,9.82,31.13,
12.63,2.9,15.78,
3.77,2.35,34.14,
8.54,3.12,2.08,
11.5,25.12,4.92,
10.64,11.01,24.44,
19.55,1.11,11.38,
9.19,0.92,3.91,
4.62,24.58,21.08,
0.73,3.63,25.82,
1.54,3.89,14.36,
