<1h,1-3h,3-6h,>6h
0.03,0.38,5.27,185.47
3.87,9.03,19.52,7.76
0.03,8.79,16.23,67.64
0.07,7.92,19.9,0.45
0.03,5.05,1.6,469.53
3.31,5.64,18.55,0.49
0.62,1.66,5.76,10.82
0.03,0.7,6.95,36.62
0.03,11.38,18.49,31.3
0.03,4.1,17.34,4.7
2.26,7.96,18.46,4.46
0.03,4.45,8.56,10.99
0.09,2.74,15.96,1.29
0.03,6.19,15.6,64.71
2.07,0.27,6.63,0.28
1.03,2.66,6.51,12.89
3.31,3.61,10.9,3.38
0.03,4.75,1.97,17.8
0.03,2.8,10.67,3.91
3.31,4.1,7.99,16.67
0.03,4.37,17.95,4.55
5.96,0.1,6.21,2.4
